Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,Total_T_cells_-_%_of_CD45+,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Ano10,MFZP,M01807200,Ano10:Hom,Hom,Male,2014-08-26,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.714,97.121,55.737,86.653,16.385,83.611,0.226,11.577,55.332,43.935,2.703,43.864,3.492,19.192,76.728,0.44,2.879,63.893,13.796,84.911,0.129,0.598,57.692,6.28,93.623,1.353,42.308,58.893,40.975,6.061,0.519,34.062,66.452,7.584,2.717,0.185,5.835,1.459,4.376,24.335,21.695,27.064,72.936,21.354,78.18,50.149,52.168,29.077,25.196,4.128,21.066,0.057,3.366,1.863,1.479,0.091,22.883,0.799,4.392,17.558,0.101,1.546,0.988,0.213,1.313,0.002,0.345,0.022,0.323,0.005,0.253,0.149,0.104,0.015,0.177,0.345,0.039,0.005,0.159,0.04,0.119,0.661,0.589,0.16,0.43,0.092,0.336,0.169
Ano10,MFZP,M01807201,Ano10:Hom,Hom,Male,2014-08-26,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.462,97.423,52.989,86.427,19.731,80.291,0.379,12.278,71.622,27.764,3.615,46.814,3.402,22.759,72.868,0.173,2.577,65.947,17.825,80.319,0.086,0.636,67.996,4.812,95.188,0.902,32.004,57.508,41.534,8.626,0.521,51.061,49.563,11.86,4.161,0.029,2.855,0.836,2.019,26.421,9.864,20.175,79.825,28.571,71.062,64.433,56.956,30.18,26.084,5.147,20.943,0.099,3.706,2.654,1.029,0.134,26.663,0.907,6.068,19.429,0.046,1.507,0.994,0.269,1.21,0.001,0.432,0.021,0.412,0.004,0.204,0.117,0.085,0.018,0.266,0.258,0.062,0.001,0.119,0.035,0.084,1.099,0.41,0.083,0.328,0.094,0.233,0.15
Ndufb8,MFHG,M01807418,Ndufb8:Het,Het,Female,2014-08-13,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.452,97.213,52.941,87.014,17.746,82.234,0.558,12.761,76.346,22.381,3.398,46.687,5.175,9.803,84.181,0.875,2.787,70.66,15.725,78.833,0.083,0.702,26.216,21.023,78.788,2.652,73.784,58.95,40.646,11.238,0.342,50.102,50.51,16.02,5.464,0.268,3.65,1.089,2.561,10.51,11.313,22.804,77.196,23.195,75.711,53.468,58.767,31.112,27.072,4.804,22.262,0.151,3.97,3.031,0.889,0.135,27.437,1.42,2.69,23.096,0.24,1.685,1.19,0.265,1.328,0.001,0.184,0.039,0.145,0.005,0.518,0.305,0.211,0.058,0.171,0.173,0.055,0.015,0.199,0.06,0.14,0.574,0.618,0.141,0.477,0.111,0.361,0.193
Sqle,MGCV,M01807870,Sqle:Het,Het,Female,2014-08-20,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.914,97.409,55.621,89.908,12.94,87.02,0.259,10.167,67.013,31.894,5.227,43.932,2.772,12.336,84.246,0.184,2.591,62.057,13.185,79.867,0.069,0.335,56.574,11.796,87.852,0.704,43.426,81.651,17.661,3.211,0.314,34.431,65.675,14.984,2.17,0.046,5.162,0.799,4.363,9.986,30.865,21.453,78.547,21.103,78.58,64.597,54.465,30.294,27.237,3.524,23.702,0.071,3.08,2.064,0.982,0.161,23.928,0.663,2.952,20.158,0.044,1.449,0.899,0.191,1.157,0.001,0.189,0.022,0.166,0.001,0.145,0.119,0.026,0.005,0.108,0.206,0.047,0.001,0.112,0.017,0.095,0.217,0.67,0.144,0.526,0.111,0.413,0.267
Pth1r,MFUV,M01807988,Pth1r:Het,Het,Female,2014-08-20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.838,97.805,53.915,89.711,10.291,89.68,0.166,10.335,62.721,36.461,3.087,45.698,2.186,12.439,84.882,0.082,2.195,65.888,10.939,82.716,0.102,0.257,62.387,12.266,87.526,0.624,37.613,76.897,21.724,8.966,0.308,36.039,63.961,11.905,2.341,0.203,4.392,0.638,3.754,6.32,31.033,20.972,79.028,19.917,79.61,65.182,58.525,31.553,28.307,2.913,25.385,0.047,3.261,2.045,1.189,0.101,26.744,0.585,3.327,22.701,0.022,1.313,0.865,0.144,1.086,0.001,0.16,0.02,0.14,0.001,0.097,0.074,0.021,0.009,0.111,0.197,0.037,0.005,0.103,0.015,0.088,0.148,0.727,0.152,0.574,0.114,0.457,0.298
Pth1r,MFUV,M01807989,Pth1r:Het,Het,Female,2014-08-20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.641,97.703,56.404,89.476,12.884,87.078,0.211,10.6,64.717,34.378,3.678,43.285,2.952,15.114,81.362,0.081,2.297,60.926,13.041,81.712,0,0.371,60.432,11.012,88.988,0.744,39.568,83.636,15.455,6.136,0.48,39.931,60.139,16.389,2.876,0.08,4.622,0.498,4.124,7.629,25.398,25.569,74.431,20.864,78.504,60.671,57.294,32.316,28.915,3.725,25.179,0.061,3.426,2.217,1.178,0.126,24.8,0.732,3.748,20.178,0.02,1.347,0.821,0.176,1.101,0,0.224,0.025,0.199,0.002,0.147,0.123,0.023,0.009,0.192,0.289,0.079,0.002,0.133,0.014,0.119,0.219,0.73,0.187,0.544,0.113,0.427,0.259
Dbn1,MUCL,M01808324,WT,WT,Female,2014-08-18,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.959,97.272,55.828,86.5,16.046,83.966,0.252,13.096,58.522,40.94,4.196,43.833,2.362,13.676,83.79,0.184,2.728,60.666,12.613,85.575,0.136,0.333,51.102,12.549,87.451,2.353,48.898,86.27,13.115,7.377,0.571,33.158,67.25,13.368,2.659,0.039,5.558,0.941,4.616,13.127,26.783,26.336,73.664,24.118,75.294,54.167,52.487,29.303,25.347,4.067,21.283,0.064,3.837,2.246,1.571,0.161,23.007,0.543,3.146,19.277,0.042,1.472,0.893,0.186,1.26,0.002,0.17,0.021,0.149,0.004,0.163,0.14,0.021,0.012,0.189,0.384,0.076,0.001,0.148,0.025,0.123,0.349,0.712,0.188,0.525,0.127,0.395,0.214
Dbn1,MUCL,M01808325,WT,WT,Female,2014-08-18,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.118,97.431,57.505,86.907,17.016,82.982,0.227,12.799,65.472,33.71,3.239,42.107,3.258,12.978,83.11,0.144,2.569,61.252,15.702,80.508,0.094,0.416,42.994,18.063,81.564,1.49,57.006,85.112,14.466,8.287,0.426,36.2,64.269,17.826,2.38,0.014,5.63,1.275,4.356,4.51,32.563,27.742,72.258,27.798,71.548,61.231,53.702,30.881,26.838,4.567,22.27,0.061,3.952,2.588,1.332,0.128,22.612,0.737,2.935,18.793,0.033,1.416,0.867,0.222,1.14,0.001,0.179,0.032,0.146,0.003,0.237,0.202,0.034,0.02,0.154,0.274,0.076,0,0.134,0.03,0.104,0.107,0.775,0.215,0.56,0.156,0.401,0.245
Chtop,MFUD,M01808532,Chtop:Het,Het,Male,2014-08-18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.592,97.278,54.29,85.198,11.297,88.682,0.214,13.88,59.743,39.727,3.541,45.427,2.578,16.677,80.519,0.151,2.722,52.215,12.007,84.822,0.048,0.291,59.382,10.019,89.788,1.156,40.618,43.944,55.493,28.169,0.55,39.539,60.825,7.216,2.643,0.039,6.191,0.491,5.7,23.408,25.295,27.117,72.883,20.789,78.891,58.784,49.215,26.719,22.764,2.572,20.187,0.049,3.709,2.216,1.473,0.131,22.357,0.576,3.728,18.001,0.034,1.377,0.719,0.165,1.168,0.001,0.173,0.017,0.155,0.002,0.118,0.052,0.066,0.033,0.217,0.334,0.04,0.001,0.164,0.013,0.151,0.619,0.669,0.181,0.487,0.101,0.384,0.226
Lce3c,MFVV,M01808677,Lce3c:Hom,Hom,Male,2014-08-18,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.783,96.344,58.86,79.48,18.519,81.368,0.342,17.913,68.592,30.39,7.784,39.974,3.507,18.776,77.435,0.401,3.656,54.83,11.771,84.186,0.06,0.399,60.953,8.505,91.221,0.96,39.047,85.225,13.062,5.567,0.403,37.169,63.079,12.334,3.997,0.025,8.023,0.917,7.105,23.576,20.382,23.445,76.555,17.851,81.668,69.699,44.109,25.963,20.635,3.821,16.79,0.071,4.651,3.19,1.413,0.362,17.632,0.618,3.311,13.654,0.071,1.674,0.918,0.197,1.409,0.001,0.243,0.021,0.222,0.002,0.156,0.133,0.02,0.009,0.15,0.254,0.05,0.001,0.321,0.037,0.284,0.942,0.815,0.191,0.624,0.111,0.509,0.355
Lce3c,MFVV,M01808679,Lce3c:Hom,Hom,Female,2014-08-18,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.625,97.053,56.554,86.064,19.554,80.417,0.308,13.634,72.537,26.609,4.142,43.086,3.556,18.216,77.958,0.31,2.947,60.692,16.323,79.119,0.022,0.455,35.505,15.258,84.536,1.856,64.495,62.202,37.23,6.016,0.411,43.019,57.062,13.393,2.599,0.038,5.514,1.282,4.232,12.388,28.918,17.605,82.395,25.78,73.412,68.695,50.103,28.336,24.387,4.769,19.611,0.075,3.863,2.802,1.028,0.16,21.587,0.768,3.932,16.829,0.067,1.521,0.923,0.248,1.204,0,0.162,0.025,0.137,0.003,0.294,0.183,0.109,0.018,0.177,0.234,0.055,0.001,0.143,0.033,0.11,0.322,0.752,0.132,0.619,0.16,0.455,0.312
Trub2,MFJX,M01808736,Trub2:Het,Het,Male,2014-08-20,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.664,97.992,53.358,89.768,11.218,88.732,0.189,10.432,64.716,33.824,3.546,46.353,2.61,16.651,80.24,0.189,2.008,51.208,10.886,84.313,0.06,0.395,58.481,7.359,92.496,0.722,41.519,50,48.984,15.244,0.426,31.558,68.598,7.361,2.669,0.178,5.84,0.663,5.176,18.247,26.561,27.527,72.473,19.244,80.336,63.494,54.546,29.105,26.127,2.931,23.183,0.049,3.036,1.965,1.027,0.108,25.284,0.66,4.21,20.288,0.048,1.118,0.572,0.122,0.942,0.001,0.231,0.017,0.214,0.002,0.164,0.082,0.08,0.025,0.134,0.292,0.031,0.005,0.156,0.018,0.138,0.487,0.709,0.195,0.514,0.099,0.413,0.262
Xpnpep1,MFHU,M01808792,Xpnpep1:Hom,Hom,Female,2014-08-11,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.608,97.657,53.123,89.103,14.2,85.689,0.228,10.622,69.288,28.646,2.964,46.551,3.389,11.405,83.519,0.12,2.343,68.669,16.146,78.526,0.023,1.279,15.842,8.553,90.789,1.48,84.158,39.071,60.31,7.183,0.477,43.885,56.045,14.256,3.28,0.152,6.031,1.124,4.907,5.645,29.453,19.682,80.318,17.129,82.475,65.606,59.188,31.442,28.016,3.978,24.007,0.064,3.34,2.314,0.957,0.099,27.552,0.934,3.142,23.011,0.033,1.42,0.975,0.229,1.115,0,0.203,0.017,0.184,0.003,1.077,0.421,0.649,0.077,0.209,0.267,0.068,0.005,0.198,0.037,0.161,0.185,0.966,0.19,0.776,0.133,0.64,0.42
Mospd1,MGHQ,M01809475,WT,WT,Male,2014-08-28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.636,97.182,54.29,82.735,19.152,80.806,0.171,16.911,62.412,36.151,2.439,45.301,7.485,13.091,71.382,0.124,2.818,52.765,22.664,72.188,0.048,0.472,57.698,16.524,83.354,0.122,42.302,88.147,11.185,2.504,0.466,50.715,49.571,11.66,1.755,0.038,7.029,0.969,6.06,16.736,36.398,23.33,76.67,26.344,73.179,59.349,48.237,26.188,21.667,4.15,17.508,0.037,4.429,2.764,1.601,0.108,21.852,1.636,2.861,15.598,0.027,1.399,0.738,0.317,1.01,0.001,0.272,0.045,0.227,0,0.2,0.176,0.022,0.005,0.236,0.231,0.054,0.001,0.123,0.017,0.106,0.294,0.639,0.149,0.49,0.129,0.358,0.213
Cir1,MGHD,M01810136,Cir1:Het,Het,Male,2014-08-20,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.016,97.175,55.328,87.334,14.174,85.772,0.216,12.89,63.862,34.734,3.289,44.296,3.665,16.768,78.657,0.177,2.825,52.725,15.64,79.783,0.142,0.413,72.316,8.594,91.406,0.446,27.684,70.845,28.571,13.12,0.606,33.242,66.813,11.833,3.257,0.165,7.174,1.153,6.022,13.752,28.235,23.806,76.194,15.12,84.45,68.555,48.603,26.891,23.485,3.329,20.144,0.051,3.466,2.214,1.204,0.114,21.529,0.789,3.61,16.934,0.038,1.413,0.745,0.221,1.127,0.002,0.299,0.026,0.273,0.001,0.114,0.081,0.033,0.015,0.201,0.405,0.072,0.005,0.234,0.038,0.196,0.448,0.92,0.219,0.701,0.106,0.592,0.406
Nudt12,MGGX,M01810428,Nudt12:Hom,Hom,Female,2014-08-26,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.76,97.207,55.032,88.991,15.142,84.63,0.203,10.638,50.112,46.818,2.856,44.322,2.133,10.734,86.397,0.064,2.793,57.716,15.584,80.732,0.022,1.451,11.073,15.145,84.232,0.622,88.927,48.876,50.065,2.816,0.45,30.319,70.2,9.711,1.645,0.081,7.114,1.358,5.756,6.931,42.481,26.288,73.712,25.825,74.045,46.853,53.23,29.294,26.069,3.947,22.062,0.053,3.116,1.562,1.459,0.089,23.593,0.503,2.532,20.383,0.015,1.529,0.883,0.238,1.235,0,0.161,0.024,0.135,0.001,1.29,0.631,0.646,0.036,0.136,0.316,0.044,0.001,0.117,0.022,0.095,0.114,0.699,0.184,0.515,0.133,0.381,0.179
Ddx51,MGMT,M01810465,WT,WT,Female,2014-08-28,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.775,97.205,55.19,87.286,13.452,86.537,0.224,12.627,55.879,43.161,2.788,44.375,1.867,13.985,83.928,0.143,2.795,55.141,13.13,84.768,0.023,0.397,68.766,8.669,91.575,0.733,31.234,83.333,16.129,2.419,0.419,38.902,61.496,19.173,1.555,0.064,12.387,1.693,10.694,13.33,41.449,30.869,69.131,22.064,77.487,60.811,51.3,28.313,24.713,3.324,21.386,0.055,3.575,1.998,1.543,0.1,22.764,0.425,3.184,19.106,0.033,1.475,0.813,0.194,1.25,0,0.273,0.024,0.25,0.002,0.124,0.103,0.02,0.003,0.163,0.258,0.08,0.001,0.193,0.026,0.166,0.207,0.645,0.199,0.446,0.098,0.345,0.21
Ddx51,MGMT,M01810466,WT,WT,Female,2014-08-28,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.322,96.703,58.102,86.181,16.578,83.358,0.348,13.815,62.325,36.596,4.023,41.487,3.538,12.129,81.662,0.135,3.297,53.752,18.368,77.347,0.103,0.437,59.16,19.871,79.742,0.774,40.84,85.421,14.579,2.43,0.4,48.707,51.46,14.679,1.81,0.018,8.893,0.663,8.231,11.177,37.231,18.546,81.454,30.783,68.974,52.201,47.696,27.712,23.883,3.959,19.908,0.083,3.828,2.386,1.401,0.154,19.788,0.7,2.4,16.159,0.027,1.626,0.874,0.299,1.258,0.002,0.258,0.051,0.206,0.002,0.178,0.152,0.026,0.004,0.195,0.206,0.059,0,0.161,0.012,0.149,0.202,0.674,0.125,0.549,0.169,0.379,0.198
Krt31,MFSN,M01810636,Krt31:Hom,Hom,Female,2014-08-28,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.125,96.775,59.801,87.224,13.354,86.617,0.191,12.749,57.159,42.018,2.825,39.698,2.402,12.365,84.974,0.22,3.225,54.253,13.841,83.423,0.119,0.403,56.529,8.918,90.936,0.731,43.471,84.791,14.259,0.57,0.306,36.166,64.27,16.449,1.312,0.025,8.437,0.483,7.954,8.056,44.117,16.59,83.41,31.768,67.887,51.882,50.444,30.166,26.312,3.514,22.791,0.05,3.846,2.198,1.616,0.109,20.025,0.481,2.476,17.016,0.044,1.681,0.912,0.233,1.402,0.002,0.228,0.02,0.207,0.002,0.175,0.149,0.025,0.001,0.111,0.197,0.05,0,0.111,0.006,0.104,0.106,0.579,0.096,0.483,0.153,0.328,0.17
Usp20,MGEX,M01811687,Usp20:Hom,Hom,Female,2014-09-01,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.626,97.083,55.352,88.114,15.187,84.725,0.238,11.633,66.642,31.766,3.276,43.988,3.32,13.664,82.138,0.177,2.917,70.25,13.447,80.464,0.833,0.871,24.484,12.344,87.188,1.094,75.516,62.665,37.082,3.749,0.373,37.143,62.946,11.25,2.268,0.073,7.083,1.029,6.054,6.495,36.003,15.51,84.49,15.362,84.3,64.069,55.945,30.967,27.286,4.144,23.118,0.065,3.602,2.401,1.144,0.118,24.609,0.817,3.363,20.214,0.044,1.681,1.181,0.226,1.352,0.014,0.213,0.026,0.186,0.002,0.658,0.412,0.244,0.025,0.139,0.235,0.042,0.002,0.161,0.023,0.137,0.147,0.817,0.127,0.69,0.106,0.582,0.373
1700067K01Rik,MFLD,M01811992,1700067K01Rik:Het,Het,Female,2014-08-20,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.974,96.99,49.622,85.767,20.705,79.263,0.295,14.333,72.284,26.961,3.638,49.961,3.493,18.715,77.255,0.209,3.01,65.559,19.436,73.586,0.155,0.671,53.9,11.152,88.664,0.645,46.1,86.207,12.823,4.849,0.59,34.915,65.141,15.65,4.202,0.112,5.531,2.095,3.436,8.98,23.464,32.44,67.56,17.004,82.291,70.343,55.259,27.421,23.518,4.869,18.641,0.069,3.93,2.841,1.06,0.143,27.608,0.964,5.167,21.328,0.058,1.715,1.124,0.333,1.262,0.003,0.362,0.04,0.321,0.002,0.309,0.267,0.04,0.015,0.206,0.384,0.092,0.005,0.232,0.088,0.144,0.377,0.986,0.32,0.666,0.113,0.548,0.386
Ndufb8,MFHG,M01812234,Ndufb8:Het,Het,Female,2014-08-28,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.964,96.853,55.92,86.611,15.88,84.08,0.225,13.32,58.639,40.181,3.303,43.431,2.387,12.64,84.606,0.162,3.147,54.683,12.33,83.366,0.043,0.431,47.254,12.275,87.07,0.982,52.746,88.123,10.997,1.906,0.374,36.598,63.491,16.741,1.302,0,7.962,0.87,7.092,5.172,50.845,17.825,82.175,23.162,76.532,60.448,47.423,26.519,22.969,3.647,19.312,0.052,3.532,2.071,1.419,0.117,20.596,0.492,2.603,17.426,0.033,1.541,0.843,0.19,1.285,0.001,0.204,0.025,0.177,0.002,0.227,0.2,0.025,0.004,0.137,0.238,0.063,0,0.104,0.011,0.092,0.067,0.662,0.118,0.544,0.126,0.416,0.252
Ndufb8,MFHG,M01812237,Ndufb8:Het,Het,Female,2014-08-28,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.928,97.048,55.815,87.038,16.296,83.707,0.193,12.915,58.484,40.762,3.227,43.752,3.031,14.135,82.408,0.229,2.952,61.308,13.507,83.676,0.267,0.646,47.341,9.597,90.294,1.091,52.659,90.98,8.922,1.176,0.54,40.581,59.419,17.789,1.951,0.051,7.55,2.016,5.535,5.005,48.189,17.051,82.949,21.838,77.949,60.855,53.307,29.753,25.897,4.22,21.677,0.05,3.843,2.247,1.566,0.124,23.323,0.707,3.297,19.22,0.053,1.621,0.994,0.219,1.357,0.004,0.306,0.029,0.276,0.003,0.34,0.309,0.03,0.004,0.219,0.321,0.096,0.001,0.147,0.039,0.108,0.098,0.94,0.16,0.78,0.17,0.608,0.37
Il23r,MFXK,M01812480,Il23r:Hom,Hom,Male,2014-09-01,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.511,96.99,57.399,85.964,13.629,86.254,0.155,13.967,53.685,44.828,2.01,41.679,2.701,13.99,82.279,0.081,3.01,46.195,17.307,78.493,0.127,0.688,20.116,12.771,87.229,0.964,79.884,65.655,33.434,1.76,0.304,38.377,61.842,8.004,1.589,0.042,7.512,0.902,6.609,8.393,38.565,26.17,73.83,20.192,79.514,54.68,42.201,24.223,20.823,2.838,17.961,0.032,3.383,1.816,1.517,0.068,17.589,0.475,2.461,14.472,0.014,1.31,0.605,0.227,1.028,0.002,0.138,0.018,0.121,0.001,0.549,0.361,0.184,0.01,0.117,0.188,0.024,0.001,0.119,0.014,0.105,0.133,0.613,0.16,0.452,0.091,0.36,0.197
Pepd,MFPW,M01812707,Pepd:Hom,Hom,Male,2014-08-20,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.849,97.987,45.053,90.342,52.89,46.328,0.504,9.753,86.563,10.25,9.077,54.568,37.264,7.288,19.26,0.359,2.013,74.537,51.745,33.097,1.254,0.558,51.78,73.958,25.833,0.833,48.22,64.206,31.544,11.186,1.245,84.333,16.054,11.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.744,24.213,21.875,11.57,10.134,0.11,2.361,2.044,0.242,0.214,29.327,10.928,2.138,5.648,0.105,1.104,0.823,0.571,0.365,0.014,0.289,0.214,0.075,0.002,0.269,0.173,0.085,0.03,1.05,0.2,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
