Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Cpt2,MUDF,M01720196,Cpt2(b):Het,Het,Male,2014-05-06,16.1,19.574,12.416,NA,NA,22.564,18.219,25.542,0.688,0.436,NA,NA,0.794,0.641,0.898,3.517,70.239,22.285,NA,2.262,1.393
Agap1,MDVW,M01713349,WT,WT,Male,2014-05-06,15.4,25.51,5.977,NA,NA,18.961,18.758,29.785,1.277,0.299,NA,NA,0.949,0.939,1.491,5.007,68.654,22.35,NA,2.305,1.41
Abhd17a,MFTD,M01705463,WT,WT,Male,2014-05-06,16.1,28.025,7.322,NA,NA,13.301,9.663,40.313,0.851,0.223,NA,NA,0.404,0.293,1.224,3.037,72.941,18.85,NA,2.924,1.573
Ift140,MGAE,M01709954,Ift140:Het,Het,Male,2014-05-06,16.3,17.758,4.62,NA,NA,16.641,11.189,46.705,0.665,0.173,NA,NA,0.623,0.419,1.75,3.747,73.001,17.972,NA,2.914,1.703
Cpt2,MUDF,M01720195,Cpt2(b):Het,Het,Male,2014-05-06,16.1,9.526,26.948,NA,NA,29.151,14.651,17.294,0.7,1.98,NA,NA,2.142,1.076,1.271,7.347,60.052,29.333,NA,2.101,1.058
Tgfb1i1,MUDL,M01713061,Tgfb1i1(b):Hom,Hom,Male,2014-05-08,16.3,7.272,25.519,NA,NA,25.43,13.743,27.964,1.309,4.593,NA,NA,4.577,2.473,5.033,17.999,51.28,27.169,NA,2.405,1.147
Zfp365,MFXF,M01715337,Zfp365:Hom,Hom,Female,2014-05-08,16.4,5.989,27.871,NA,NA,27.958,12.902,25.535,1.275,5.936,NA,NA,5.955,2.748,5.439,21.298,44.659,29.448,NA,2.871,1.723
Osbpl3,MGCS,M01715489,Osbpl3:Hom,Hom,Male,2014-05-08,15.9,12.515,22.846,NA,NA,23.936,12.68,27.778,1.506,2.749,NA,NA,2.88,1.526,3.342,12.033,56.645,27.859,NA,2.34,1.121
Fdft1,MFXN,M01717153,Fdft1:Het,Het,Female,2014-05-12,16,12.246,19.524,NA,NA,26.198,14.118,27.916,2.084,3.322,NA,NA,4.458,2.403,4.751,17.018,48.255,29.379,NA,3.792,1.554
Gpr152,MUBW,M01714694,Gpr152(b):Hom,Hom,Female,2014-05-08,16.3,9.877,17.937,NA,NA,32.889,19.927,19.409,1.893,3.437,NA,NA,6.304,3.819,3.72,19.166,46.456,29.734,NA,3.113,1.529
Fdft1,MFXN,M01717148,Fdft1:Het,Het,Male,2014-05-08,16,8.265,26.324,NA,NA,21.641,12.723,31.031,1.243,3.96,NA,NA,3.256,1.914,4.668,15.045,52.76,28.804,NA,2.087,1.305
Gm13125,MUDJ,M01714434,Gm13125(b):Hom,Hom,Male,2014-05-08,16.3,6.632,23.467,NA,NA,27.795,15.926,26.188,1.105,3.911,NA,NA,4.632,2.654,4.364,16.665,52.217,28.141,NA,1.99,0.985
Ccdc18,MFVF,M01714669,Ccdc18:Hom,Hom,Female,2014-05-08,16.3,13.265,22.97,NA,NA,17.589,10.26,35.577,2.206,3.819,NA,NA,2.925,1.706,5.915,16.627,48.041,30.29,NA,3.819,1.223
9130011E15Rik,MFTJ,M01715551,9130011E15Rik:Het,Het,Female,2014-05-08,15.9,10.972,22.911,NA,NA,25.274,15.81,25.225,2.44,5.095,NA,NA,5.621,3.516,5.61,22.24,42.138,31.374,NA,3.017,1.231
Gm13125,MUDJ,M01714437,Gm13125(b):Hom,Hom,Female,2014-05-08,16.3,10.955,21.948,NA,NA,27.591,14.765,24.833,2.142,4.292,NA,NA,5.395,2.887,4.856,19.553,46.255,29.013,NA,3.881,1.298
Tgfb1i1,MUDL,M01713065,Tgfb1i1(b):Hom,Hom,Male,2014-05-08,16.3,6.278,22.489,NA,NA,28.614,16.02,26.712,1.122,4.021,NA,NA,5.116,2.864,4.776,17.88,51.263,26.929,NA,2.364,1.563
Xpnpep1,MFHU,M01724126,Xpnpep1:Het,Het,Female,2014-05-14,15.6,12.521,23.077,NA,NA,31.932,14.892,17.291,1.546,2.85,NA,NA,3.944,1.839,2.135,12.35,49.934,32.971,NA,3.466,1.278
9130011E15Rik,MFTJ,M01724610,9130011E15Rik:Het,Het,Male,2014-05-14,16.1,9.066,30.483,NA,NA,26.823,12.064,21.305,1.02,3.43,NA,NA,3.018,1.357,2.397,11.251,54.035,31.079,NA,2.499,1.134
Mrps5,MUBK,M01714488,Mrps5(b):Het,Het,Male,2014-05-14,16.3,13.45,33.035,NA,NA,20.271,12.957,19.906,1.877,4.612,NA,NA,2.83,1.809,2.779,13.959,47.731,34.063,NA,2.88,1.363
Xpnpep1,MFHU,M01724121,Xpnpep1:Het,Het,Male,2014-05-14,15.6,9.685,28.29,NA,NA,30.609,13.855,17.529,1.231,3.597,NA,NA,3.892,1.762,2.229,12.716,51.013,32.885,NA,2.197,1.187
L3mbtl2,MFPQ,M01723319,L3mbtl2:Het,Het,Male,2014-05-14,15.7,12.119,33.598,NA,NA,24.241,10.729,18.746,1.087,3.014,NA,NA,2.175,0.962,1.682,8.971,59.131,28.835,NA,2.021,1.041
L3mbtl2,MFPQ,M01723320,L3mbtl2:Het,Het,Male,2014-05-14,15.7,16.143,29.289,NA,NA,23.087,9.305,21.819,1.225,2.223,NA,NA,1.752,0.706,1.656,7.588,60.917,28.244,NA,2.319,0.921
Kif1bp,MGCY,M01720153,Kif1bp:Het,Het,Female,2014-05-14,15.9,9.719,23.514,NA,NA,32.063,16.454,17.99,1.673,4.047,NA,NA,5.518,2.832,3.096,17.211,48.457,30.404,NA,2.823,1.105
Zfp182,MUAP,M01718294,Zfp182(b):Hemi,Hom,Male,2014-05-14,15.7,11.161,31.704,NA,NA,23.807,10.816,21.954,1.041,2.956,NA,NA,2.22,1.008,2.047,9.323,54.404,32.353,NA,2.922,0.994
9130011E15Rik,MFTJ,M01724603,9130011E15Rik:Het,Het,Female,2014-05-14,15.9,13.486,28.643,NA,NA,20.731,8.958,27.702,1.943,4.128,NA,NA,2.987,1.291,3.992,14.41,47.695,32.295,NA,4.23,1.369
Zfp182,MUAP,M01718295,Zfp182(b):Hemi,Hom,Male,2014-05-14,15.7,9.948,37.333,NA,NA,26.101,11.198,15.363,1.007,3.78,NA,NA,2.642,1.134,1.555,10.124,54.859,31.257,NA,2.584,1.174
9130011E15Rik,MFTJ,M01724621,9130011E15Rik:Het,Het,Female,2014-05-14,16.1,13.444,27.664,NA,NA,26.641,11.619,20.564,1.77,3.642,NA,NA,3.507,1.53,2.707,13.165,48.735,33.477,NA,3.509,1.113
Mrps5,MUBK,M01714486,Mrps5(b):Het,Het,Male,2014-05-14,16.3,13.966,23.847,NA,NA,25.304,16.193,20.631,2.474,4.224,NA,NA,4.482,2.868,3.654,17.713,46.3,30.916,NA,3.727,1.341
Trub2,MFJX,M01718232,WT,WT,Female,2014-05-12,16.1,8.328,11.089,NA,NA,39.972,19.582,20.644,1.916,2.551,NA,NA,9.196,4.505,4.749,23.006,45.561,27.166,NA,2.875,1.378
Trub2,MFJX,M01718286,WT,WT,Female,2014-05-12,16.1,8.243,12.288,NA,NA,39.256,18.973,20.754,1.995,2.975,NA,NA,9.501,4.592,5.023,24.204,43.734,28.012,NA,2.794,1.247
Prkab1,MUCJ,M01717705,Prkab1(b):Hom,Hom,Female,2014-05-12,16,8.67,11.84,NA,NA,41.836,21.383,16.254,1.827,2.496,NA,NA,8.818,4.507,3.426,21.078,48.048,26.704,NA,2.868,1.291
Bach2,MFZQ,M01718895,Bach2:Hom,Hom,Male,2014-05-12,16.1,10.331,15.874,NA,NA,36.36,24.768,12.958,1.051,1.614,NA,NA,3.698,2.519,1.318,10.171,51.991,34.945,NA,2.227,0.655
Nudt12,MGGX,M01722192,WT,WT,Male,2014-05-12,16.1,7.275,15.75,NA,NA,29.928,15.319,31.372,1.04,2.251,NA,NA,4.277,2.189,4.484,14.292,57.341,25.262,NA,1.992,1.104
Tceal5,MUAM,M01714009,WT,WT,Male,2014-05-12,16.1,7.429,17.554,NA,NA,35.384,15.758,23.338,1.501,3.548,NA,NA,7.151,3.185,4.717,20.21,47.787,28.584,NA,2.133,1.274
Trub2,MFJX,M01718243,WT,WT,Female,2014-05-12,16.1,10.071,10.983,NA,NA,38.226,20.84,19.332,1.992,2.173,NA,NA,7.561,4.122,3.824,19.781,49.451,26.552,NA,2.859,1.347
Bach2,MFZQ,M01718897,Bach2:Hom,Hom,Male,2014-05-12,16.1,11.77,17.354,NA,NA,34.106,24.806,12.258,0.884,1.303,NA,NA,2.561,1.863,0.921,7.51,54.243,35.873,NA,1.854,0.509
Prkab1,MUCJ,M01717701,Prkab1(b):Hom,Hom,Male,2014-05-12,16,8.139,12.363,NA,NA,38.103,19.394,21.862,1.281,1.946,NA,NA,5.998,3.053,3.442,15.742,54.266,26.951,NA,1.953,1.073
Prkab1,MUCJ,M01717702,Prkab1(b):Hom,Hom,Female,2014-05-12,16,11.899,14.343,NA,NA,35.178,16.852,21.128,2.343,2.824,NA,NA,6.926,3.318,4.159,19.687,49.954,26.392,NA,2.547,1.407
1700123O20Rik,MGBX,M01720631,1700123O20Rik:Hom,Hom,Male,2014-05-12,16.1,9.127,11.369,NA,NA,30.761,17.274,30.83,1.085,1.352,NA,NA,3.658,2.054,3.667,11.893,59.438,25.332,NA,2.093,1.189
Tceal5,MUAM,M01714010,WT,WT,Male,2014-05-12,16.1,7.1,15.053,NA,NA,35.525,16.73,25.168,1.215,2.577,NA,NA,6.08,2.863,4.307,17.115,51.579,28.4,NA,1.744,1.148
Ppil3,MUEP,M01718145,Ppil3(b):Hom,Hom,Female,2014-05-12,16,12.051,15.572,NA,NA,34.991,16.215,20.951,2.072,2.678,NA,NA,6.017,2.788,3.603,17.196,47.434,31.133,NA,2.578,1.65
Ppil3,MUEP,M01718140,Ppil3(b):Hom,Hom,Male,2014-05-12,16,7.576,15.039,NA,NA,31.734,14.003,31.05,1.211,2.404,NA,NA,5.073,2.238,4.964,15.986,52.923,27.928,NA,2.053,1.1
Dlg4,MEEV,M01729168,WT,WT,Male,2014-05-21,15.7,8.817,17.65,NA,NA,28.495,15.46,24.957,1.511,3.026,NA,NA,4.885,2.65,4.278,17.142,52.392,25.141,NA,3.778,1.544
Dlg4,MEEV,M01723105,Dlg4:Hom,Hom,Female,2014-05-21,16.1,16.6,17.979,NA,NA,23.187,12.584,29.736,2.128,2.305,NA,NA,2.972,1.613,3.812,12.819,53.937,28.046,NA,3.769,1.428
Tctex1d2,MFYD,M01729500,Tctex1d2:Hom,Hom,Male,2014-05-21,15.6,8.698,24.263,NA,NA,27.076,16.119,24.014,1.099,3.067,NA,NA,3.422,2.037,3.035,12.64,55.851,28.403,NA,1.961,1.145
Bach2,MFZQ,M01723465,Bach2:Hom,Hom,Female,2014-05-21,15.9,17.981,18.473,NA,NA,28.387,22.021,13.345,1.61,1.654,NA,NA,2.541,1.971,1.195,8.952,54.022,34.169,NA,2.117,0.74
Bach2,MFZQ,M01723466,Bach2:Hom,Hom,Female,2014-05-21,15.9,25.321,19.818,NA,NA,22.989,18.443,13.336,1.859,1.455,NA,NA,1.687,1.354,0.979,7.34,47.456,41.312,NA,3.178,0.71
Tctex1d2,MFYD,M01729503,Tctex1d2:Hom,Hom,Female,2014-05-21,15.6,9.551,19.438,NA,NA,27.646,15.633,27.835,1.831,3.726,NA,NA,5.3,2.997,5.336,19.17,50.661,25.977,NA,3.05,1.142
Bai1,MEMT,M01731760,WT,WT,Female,2014-05-21,15.7,12.648,23.566,NA,NA,29.424,14.112,20.497,1.879,3.502,NA,NA,4.372,2.097,3.046,14.858,50.423,31.092,NA,2.697,0.928
Bai1,MEMT,M01731761,WT,WT,Female,2014-05-21,15.7,9.761,16.643,NA,NA,26.187,16.965,27.799,1.575,2.685,NA,NA,4.225,2.737,4.485,16.134,49.627,29.626,NA,3.093,1.193
Dlg4,MEEV,M01723097,Dlg4:Hom,Hom,Male,2014-05-21,16.1,10.155,25.494,NA,NA,23.014,13.831,27.71,1.411,3.542,NA,NA,3.198,1.922,3.85,13.894,52.361,30.037,NA,2.521,1.185
Mrps5,MUBK,M01728545,Mrps5(b):Het,Het,Female,2014-05-21,16.1,12.211,21.313,NA,NA,25.406,14.609,26.466,1.916,3.344,NA,NA,3.986,2.292,4.152,15.689,50.052,29.631,NA,3.319,1.31
Metrnl,MUCO,M01730576,Metrnl(b):Hom,Hom,Female,2014-05-21,15.6,9.946,18.731,NA,NA,29.319,16.536,25.657,1.737,3.272,NA,NA,5.121,2.888,4.481,17.466,45.805,33.469,NA,2.248,1.012
Cxcr2,MFFS,M01730438,Cxcr2:Hom,Hom,Female,2014-05-21,15.7,49.847,7.481,NA,NA,17.977,7.023,17.595,0.441,0.066,NA,NA,0.159,0.062,0.156,0.884,70.827,26.702,NA,1.154,0.433
Adgrd1,MUCE,M01723670,WT,WT,Male,2014-05-19,16.1,10.282,39.331,NA,NA,20.96,12.405,16.464,1.152,4.405,NA,NA,2.348,1.39,1.844,11.201,53.7,32.28,NA,1.782,1.033
Lyrm9,MGHA,M01727661,WT,WT,Male,2014-05-19,16.1,10.216,40.139,NA,NA,18.151,12.148,18.79,1.106,4.345,NA,NA,1.965,1.315,2.034,10.826,54.221,32.031,NA,1.937,0.983
L3mbtl2,MFPQ,M01723345,L3mbtl2:Het,Het,Female,2014-05-19,15.9,13.157,49.255,NA,NA,20.331,10.131,6.042,1.25,4.681,NA,NA,1.932,0.963,0.574,9.504,55.271,31.975,NA,1.839,1.41
Osbpl3,MGCS,M01723290,Osbpl3:Hom,Hom,Male,2014-05-19,16.1,13.376,28.616,NA,NA,23.043,14.045,21.098,1.212,2.594,NA,NA,2.089,1.273,1.912,9.064,57.803,30.07,NA,2.033,1.028
Osbpl3,MGCS,M01723291,Osbpl3:Hom,Hom,Male,2014-05-19,16.1,17.832,34.346,NA,NA,16.562,8.32,22.901,1.287,2.479,NA,NA,1.195,0.601,1.653,7.218,60.113,29.694,NA,2.188,0.786
Adgrd1,MUCE,M01723677,WT,WT,Male,2014-05-19,16.1,7.665,44.289,NA,NA,17.754,12.922,16.517,1.075,6.214,NA,NA,2.491,1.813,2.317,14.031,53.734,29.555,NA,1.76,0.916
L3mbtl2,MFPQ,M01723152,L3mbtl2:Het,Het,Male,2014-05-19,16,21.592,31.034,NA,NA,17.678,11.849,17.81,1.18,1.696,NA,NA,0.966,0.648,0.973,5.465,61.795,30.135,NA,1.83,0.775
Osbpl3,MGCS,M01723295,Osbpl3:Hom,Hom,Female,2014-05-19,16.1,13.414,33.258,NA,NA,22.417,14.366,16.024,2.064,5.116,NA,NA,3.449,2.21,2.465,15.384,47.451,33.204,NA,2.827,1.132
Ccdc159,MEZZ,M01723145,Ccdc159:Hom,Hom,Female,2014-05-19,16,7.912,42.543,NA,NA,20.305,13.603,13.63,1.27,6.828,NA,NA,3.259,2.183,2.188,16.049,48.336,32.324,NA,2.357,0.93
Gm13125,MUDJ,M01718421,Gm13125(b):Hom,Hom,Male,2014-05-19,16.1,17.587,24.868,NA,NA,13.987,9.394,33.902,1.365,1.93,NA,NA,1.085,0.729,2.631,7.76,61.013,28.292,NA,2.059,0.874
Gm13125,MUDJ,M01718420,Gm13125(b):Hom,Hom,Male,2014-05-19,16.1,19.548,26.493,NA,NA,17.898,9.765,26.128,1.047,1.419,NA,NA,0.959,0.523,1.4,5.357,62.537,29.454,NA,1.969,0.682
Ccdc159,MEZZ,M01723142,Ccdc159:Hom,Hom,Female,2014-05-19,16,13.173,37.882,NA,NA,16.942,11.187,17.919,1.844,5.303,NA,NA,2.372,1.566,2.509,14,49.235,32.293,NA,3.085,1.38
Sqle,MGCV,M01727632,WT,WT,Female,2014-05-19,16.1,15.064,36.653,NA,NA,24.615,13.905,9.43,2.137,5.199,NA,NA,3.491,1.972,1.337,14.184,47.899,33.906,NA,2.562,1.447
Ift140,MGAE,M01727433,Ift140:Het,Het,Female,2014-05-19,16.1,16.125,27.304,NA,NA,24.133,16.117,16.254,1.821,3.083,NA,NA,2.725,1.82,1.835,11.292,52.408,32.71,NA,2.509,1.079
Traf6,MFXR,M01729410,Traf6:Het,Het,Male,2014-05-27,16.3,6.613,25.766,NA,NA,26.758,15.261,25.48,1.122,4.372,NA,NA,4.541,2.59,4.324,16.971,51.775,27.973,NA,2.035,1.243
Vps72,MFUE,M01732756,WT,WT,Female,2014-05-27,16.1,7.433,20.645,NA,NA,27.6,16.155,28.123,1.262,3.506,NA,NA,4.687,2.744,4.776,16.983,48.752,29.476,NA,3.578,1.21
Vps72,MFUE,M01732755,WT,WT,Female,2014-05-27,16.1,11.461,21.095,NA,NA,24.482,13.105,29.895,1.359,2.501,NA,NA,2.902,1.554,3.544,11.855,50.646,33.137,NA,3.036,1.324
Osbpl3,MGCS,M01729451,Osbpl3:Hom,Hom,Female,2014-05-27,16.1,7.918,20.378,NA,NA,29.608,15.043,26.844,1.234,3.176,NA,NA,4.614,2.344,4.184,15.585,49.604,30.036,NA,3.402,1.371
Osbpl3,MGCS,M01729450,Osbpl3:Hom,Hom,Female,2014-05-27,16.1,7.769,18.691,NA,NA,25.122,13.645,34.47,1.38,3.321,NA,NA,4.464,2.425,6.125,17.77,47.011,29.323,NA,4.282,1.613
Ap4e1,MUCH,M01723616,Ap4e1(b):Hom,Hom,Female,2014-05-27,16.1,7.832,20.129,NA,NA,29.547,15.59,26.936,1.468,3.773,NA,NA,5.538,2.922,5.049,18.744,46.682,29.392,NA,3.712,1.47
Mrps5,MUBK,M01730288,WT,WT,Female,2014-05-27,16.1,9.014,20.519,NA,NA,25.759,14.265,30.615,1.312,2.987,NA,NA,3.751,2.077,4.458,14.561,52.605,28.576,NA,2.942,1.313
Mrps5,MUBK,M01730289,Mrps5(b):Het,Het,Female,2014-05-27,16.1,11.059,21.765,NA,NA,25.378,15.119,26.814,1.324,2.605,NA,NA,3.038,1.81,3.21,11.972,53.333,30.32,NA,3.062,1.312
Dlg3,MCZY,M01729423,WT,WT,Male,2014-05-27,15.9,6.212,24.968,NA,NA,24.581,14.556,29.354,1.038,4.171,NA,NA,4.107,2.432,4.905,16.709,51.738,28.054,NA,2.135,1.346
Dlg3,MCZY,M01729422,WT,WT,Male,2014-05-27,15.9,6.005,22.826,NA,NA,27.489,17.265,26.387,1.02,3.877,NA,NA,4.669,2.933,4.482,16.986,52.877,27.353,NA,1.705,1.078
Mrps5,MUBK,M01730287,Mrps5(b):Het,Het,Female,2014-05-27,16.1,10.573,20.13,NA,NA,28.8,17.243,23.207,1.193,2.27,NA,NA,3.248,1.945,2.618,11.279,52.793,31.905,NA,2.765,1.256
Traf6,MFXR,M01729403,WT,WT,Male,2014-05-27,16,8.339,20.983,NA,NA,29.079,18.008,23.583,1.268,3.189,NA,NA,4.42,2.737,3.585,15.2,55.001,26.584,NA,2.181,1.033
Vps72,MFUE,M01732841,Vps72:Het,Het,Male,2014-05-27,16.1,6.933,21.969,NA,NA,27.004,14.141,29.935,0.955,3.027,NA,NA,3.721,1.948,4.125,13.779,54.328,28.17,NA,2.625,1.097
Armc7,MUCC,M01730243,Armc7(tm1.1):Het,Het,Female,2014-05-27,16.3,8.225,24.256,NA,NA,25.745,13.711,28.18,1.313,3.873,NA,NA,4.111,2.189,4.5,15.967,50.585,28.989,NA,3.297,1.159
Armc7,MUCC,M01730242,Armc7(tm1.1):Het,Het,Female,2014-05-27,16.3,6.916,18.184,NA,NA,26.4,13.591,34.687,1.218,3.201,NA,NA,4.648,2.393,6.107,17.607,48.419,29.67,NA,3.028,1.274
Gm5544,MFYG,M01732090,Gm5544:Het,Het,Male,2014-05-29,16,15.95,23.178,NA,NA,14.967,7.669,38.102,0.99,1.438,NA,NA,0.929,0.476,2.365,6.207,59.37,31.607,NA,1.847,0.968
Mrm1,MFRT,M01731386,Mrm1:Hom,Hom,Female,2014-05-29,16.1,8.822,24.888,NA,NA,25.637,13.827,26.661,1.857,5.238,NA,NA,5.395,2.91,5.611,21.045,42.906,30.284,NA,3.827,1.936
Mrm1,MFRT,M01731385,Mrm1:Hom,Hom,Female,2014-05-29,16.1,11.991,21.787,NA,NA,29.356,16.866,19.838,2.394,4.349,NA,NA,5.86,3.367,3.96,19.962,44.635,30.808,NA,3.145,1.45
Amz2,MFXD,M01731310,Amz2:Hom,Hom,Male,2014-05-29,15.9,5.688,28.331,NA,NA,23.376,12.47,30.196,0.988,4.922,NA,NA,4.062,2.167,5.246,17.374,49.043,29.822,NA,2.131,1.629
Nxn,MUCQ,M01726702,Nxn(b):Het,Het,Male,2014-05-29,16.1,8.158,17.96,NA,NA,27.369,15.116,31.518,1.042,2.294,NA,NA,3.497,1.931,4.027,12.777,51.126,32.582,NA,2.232,1.283
Mrm1,MFRT,M01731382,Mrm1:Hom,Hom,Male,2014-05-29,16.1,6.707,26.526,NA,NA,25.717,14.421,26.68,1.242,4.911,NA,NA,4.761,2.67,4.94,18.514,47.361,30.894,NA,1.837,1.387
Zfp287,MUCG,M01736296,Zfp287(b):Hom,Hom,Female,2014-05-29,16,10.562,18.862,NA,NA,23.062,12.812,34.784,1.702,3.04,NA,NA,3.717,2.065,5.606,16.118,46.599,32.208,NA,3.424,1.65
Mrm1,MFRT,M01731381,Mrm1:Hom,Hom,Male,2014-05-29,16.1,8.291,27.863,NA,NA,23.201,13.066,27.594,1.192,4.007,NA,NA,3.337,1.879,3.968,14.381,49.023,33.122,NA,2.285,1.188
Zfp182,MUAP,M01736487,Zfp182(b):Hom,Hom,Female,2014-05-29,16,10.598,21.211,NA,NA,23.966,13.482,30.793,2.167,4.337,NA,NA,4.9,2.756,6.296,20.445,43.012,31.086,NA,3.838,1.619
Amz2,MFXD,M01731313,Amz2:Hom,Hom,Female,2014-05-29,15.9,9.509,23.409,NA,NA,26.472,15.449,24.956,1.822,4.485,NA,NA,5.072,2.96,4.781,19.158,42.609,33.275,NA,3.287,1.67
Amz2,MFXD,M01731314,Amz2:Hom,Hom,Female,2014-05-29,15.9,7.428,23.877,NA,NA,31.54,15.827,21.516,1.755,5.642,NA,NA,7.453,3.74,5.084,23.631,39.744,31.316,NA,3.531,1.775
Zfp182,MUAP,M01736484,Zfp182(b):Hom,Hom,Female,2014-05-29,16,7.624,22.988,NA,NA,32.345,16.599,20.693,1.514,4.566,NA,NA,6.425,3.297,4.11,19.863,45.554,30.018,NA,3.126,1.438
Adpgk,MFTB,M01735220,Adpgk:Hom,Hom,Female,2014-05-29,16,10.271,28.317,NA,NA,27.166,13.705,20.368,2.257,6.222,NA,NA,5.969,3.011,4.475,21.972,38.824,33.797,NA,3.552,1.854
Gimap6,MFYM,M01733947,Gimap6:Hom,Hom,Female,2014-05-29,16,7.915,19.862,NA,NA,29.992,15.966,26.399,1.45,3.638,NA,NA,5.494,2.925,4.836,18.319,43.684,34.285,NA,2.505,1.206
Traf6,MFXR,M01741502,Traf6:Het,Het,Male,2014-06-02,15.6,9.721,22.859,NA,NA,21.826,11.954,33.249,1.202,2.826,NA,NA,2.698,1.478,4.11,12.361,56.905,27.408,NA,2.338,0.985
Traf6,MFXR,M01741501,Traf6:Het,Het,Male,2014-06-02,15.6,8.728,25.507,NA,NA,25.391,14.84,25.105,1.284,3.753,NA,NA,3.736,2.184,3.694,14.715,50.629,31.075,NA,2.67,0.908
Gmds,MGCX,M01741165,WT,WT,Male,2014-06-02,15.6,7.731,25.433,NA,NA,25.911,13.333,27.195,1.418,4.665,NA,NA,4.752,2.445,4.988,18.341,51.912,25.815,NA,3.027,0.902
Amz2,MFXD,M01737005,Amz2:Hom,Hom,Male,2014-06-02,15.9,29.228,28.777,NA,NA,13.29,5.594,19.537,0.82,0.808,NA,NA,0.373,0.157,0.548,2.807,60.828,34.159,NA,1.487,0.717
Amz2,MFXD,M01737009,Amz2:Hom,Hom,Male,2014-06-02,15.9,13.453,27.751,NA,NA,19.443,7.193,31.777,0.913,1.884,NA,NA,1.32,0.488,2.157,6.789,62.769,27.409,NA,2.046,0.986
Tcp11,MFMT,M01738466,Tcp11:Hom,Hom,Male,2014-06-02,15.9,9.976,22.184,NA,NA,28.011,14.518,25.089,1.08,2.401,NA,NA,3.032,1.571,2.715,10.823,59.277,27.25,NA,1.933,0.716
Dap,MGBG,M01732924,Dap:Hom,Hom,Female,2014-06-02,16,8.994,22.919,NA,NA,26.622,13.626,27.297,1.023,2.607,NA,NA,3.029,1.55,3.105,11.377,56.217,28.761,NA,2.477,1.166
9130011E15Rik,MFTJ,M01739180,9130011E15Rik:Het,Het,Male,2014-06-02,16.1,12.816,27.349,NA,NA,22.698,13.533,23.149,1.585,3.382,NA,NA,2.807,1.673,2.862,12.365,60.342,23.563,NA,2.634,1.095
9130011E15Rik,MFTJ,M01739182,9130011E15Rik:Het,Het,Male,2014-06-02,16.1,6.517,24.128,NA,NA,25.934,16.808,25.98,0.899,3.327,NA,NA,3.576,2.318,3.582,13.789,54.219,28.188,NA,2.932,0.867
Tcp11,MFMT,M01738519,Tcp11:Hom,Hom,Male,2014-06-02,15.6,7.446,28.177,NA,NA,25.963,14.878,22.915,0.991,3.75,NA,NA,3.455,1.98,3.05,13.309,55.765,27.592,NA,2.446,0.888
Prrg2,MUBG,M01736813,Prrg2(b):Hom,Hom,Male,2014-06-02,16,7.078,33.553,NA,NA,25.288,11.981,21.393,1.032,4.89,NA,NA,3.686,1.746,3.118,14.574,51.816,30.12,NA,2.538,0.95
Mospd1,MGHQ,M01741149,Mospd1:Hemi,Hom,Male,2014-06-02,15.9,6.529,27.271,NA,NA,23.888,13.172,28.568,1.009,4.215,NA,NA,3.692,2.036,4.415,15.456,51.677,28.856,NA,2.641,1.366
Traf6,MFXR,M01741508,Traf6:Het,Het,Female,2014-06-02,15.6,11.057,22.515,NA,NA,25.933,13.903,26.281,1.846,3.758,NA,NA,4.329,2.321,4.387,16.692,48.892,28.549,NA,4.472,1.391
Dnase1l2,MUCK,M01745419,Dnase1l2(tm1.1):Hom,Hom,Female,2014-06-02,15.6,10.657,17.111,NA,NA,29.795,16.45,25.603,1.627,2.612,NA,NA,4.55,2.512,3.909,15.269,47.793,32.188,NA,3.464,1.282
Prkab1,MUCJ,M01744942,Prkab1(b):Hom,Hom,Male,2014-06-02,15.3,10.6,29.48,NA,NA,22.117,13.226,24.227,1.33,3.698,NA,NA,2.775,1.659,3.039,12.546,51.836,32.414,NA,2.117,1.083
Dlg4,MEEV,M01743455,Dlg4:Hom,Hom,Male,2014-06-02,15.6,8.095,27.669,NA,NA,28.283,16.1,19.3,1.584,5.413,NA,NA,5.533,3.15,3.776,19.563,50.965,25.764,NA,2.272,1.204
Ell2,MUAK,M01741334,WT,WT,Male,2014-06-04,16,8.04,29.727,NA,NA,28.571,14.22,19.565,0.874,3.231,NA,NA,3.105,1.545,2.126,10.866,55.043,31.048,NA,2.042,1
Fzd6,MGHV,M01731081,WT,WT,Male,2014-06-04,16.1,8.461,29.561,NA,NA,23.272,10.839,27.644,0.965,3.371,NA,NA,2.654,1.236,3.152,11.403,54.054,31.292,NA,2.203,1.047
